Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_Age_population,SIMD2020v2_Rank,SIMD_2020v2_Percentile,SIMD2020v2_Vigintile,SIMD2020v2_Decile,SIMD2020v2_Quintile,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank,income_rate,income_count,employment_rate,employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,crime_count,crime_rate,overcrowded_count,nocentralheating_count,overcrowded_rate,nocentralheating_rate,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,broadband,public_recycling_points,litter
S01009758,Darnley East,Glasgow City,624,407,4997,72,15,8,4,5861.5,4396,3273,4903,3216,5523,1021,3%,20,5%,22,85,42,24,176,22%,11%,89,86%,6.05,100,0%,12%,5,81,73,43,13%,8%,2.040748328,3.084703177,2.788879599,4.274135802,3.131551003,4.541445783,11.63111204,10.2506689,10.39843227,0%,0,6
S01009759,Darnley East,Glasgow City,860,570,161,3,1,1,1,23,168,255,1291,6001,791,494,45%,387,27%,153,240,281,236,167,26%,7%,142,75%,5.38,202,9%,9%,48,561,223,29,24%,3%,3.578367238,1.55241167,1.743391328,2.308575758,2.96126606,5.923537234,4.641284797,5.09006424,6.609694861,0%,0,31
S01009760,Darnley East,Glasgow City,852,550,998,15,3,2,1,1083,971,881,715,5706,2079,1157,23%,194,18%,96,195,80,120,142,27%,5%,119,74%,4.82,205,9%,7%,27,318,173,8,19%,1%,2.469767637,1.820699888,1.790475924,2.941404255,3.057891937,5.061041667,6.407102464,6.119720045,7.519862822,0%,0,14
S01009761,Darnley East,Glasgow City,846,558,3135,45,9,5,3,2784,3348,2782,2530,3720,5459,1878,13%,106,8%,45,120,17,50,117,23%,8%,102,75%,5.69,147,7%,15%,7,83,122,24,13%,3%,2.504126374,2.703337912,2.485582418,3.777760736,3.348901099,5.016263736,9.419197802,8.381563187,10.10543956,0%,0,8
S01009762,Darnley East,Glasgow City,1183,801,1247,18,4,2,1,830,1946,1499,547,6870,1904,870,25%,299,13%,102,165,165,80,121,24%,9%,98,65%,5.33,219,3%,4%,40,340,201,6,22%,1%,2.618941685,0.971444384,0.879530238,2.058761062,3.241455184,4.971113861,3.151403888,2.78200324,7.058887689,0%,1,34
S01009763,Darnley East,Glasgow City,783,551,5598,81,17,9,5,5008,5428,6391,5511,1888,6138,3538,5%,39,4%,20,50,10,0,23,13%,7%,59,85%,6.06,71,0%,19%,4,51,72,9,9%,1%,2.588581606,3.650365933,3.521599741,3.663134328,3.67869171,4.498322148,14.56610751,12.79556671,12.61610751,0%,0,1
S01009764,Darnley North,Glasgow City,688,476,892,13,3,2,1,577,983.5,821,1752,4219,1930,1315,28%,192,18%,84,190,187,201,143,24%,8%,118,75%,5.62,197,4%,9%,23,336,123,7,18%,1%,1.50194362,3.868757418,3.763642433,2.295120482,2.227347923,6.536657143,9.520178042,8.668976261,8.172603858,0%,1,9
S01009765,Darnley North,Glasgow City,996,639,2403,35,7,4,2,2062,2833,1432,3476,3354,4535,993,16%,160,10%,61,135,255,28,155,24%,7%,136,80%,5.93,159,2%,18%,13,131,191,17,20%,2%,1.890080962,3.766781158,3.880819431,2.002591241,2.614465162,6.898061594,11.22690137,10.43245339,9.890858685,0%,1,6
S01009766,Darnley North,Glasgow City,515,379,4042,58,12,6,3,4678,4387,3244,3946,1910,2479,1205,6%,30,5%,21,95,81,53,89,21%,0%,94,80%,5.78,118,1%,20%,14,273,89,23,16%,4%,2.687717584,3.811301066,3.673592362,4.12,3.740217584,4.938333333,11.59982238,13.01732238,9.645586146,0%,0,6
S01009767,Darnley North,Glasgow City,1099,738,1962,29,6,3,2,2348,2635,1183,2135,2977,443,1486,14%,159,10%,75,165,120,113,314,25%,3%,102,78%,5.5,212,2%,17%,82,750,89,3,17%,1%,1.706606822,4.038833034,3.13040395,2.365391304,2.607621185,6.368563218,12.23968133,10.60695242,10.36834381,1%,0,7
